patient_row,repeat_1_outer_fold,repeat_2_outer_fold,repeat_3_outer_fold,repeat_4_outer_fold,repeat_5_outer_fold
531,0,2,2,0,3
532,2,4,2,1,0
533,0,2,2,4,1
534,1,0,3,4,3
535,3,3,0,1,4
536,2,2,4,2,0
537,0,0,2,0,4
538,1,2,1,3,1
539,4,4,3,4,4
540,0,4,3,3,4
541,3,4,3,3,0
542,3,0,0,0,2
543,2,2,3,2,0
544,3,2,4,4,1
545,1,3,2,0,1
546,1,4,1,4,1
547,4,1,0,2,1
548,3,3,2,4,3
549,0,1,1,4,0
550,4,4,2,0,4
551,4,4,2,3,1
552,2,2,3,2,0
553,0,0,4,4,3
554,0,1,2,0,0
555,4,3,3,1,0
556,4,1,2,1,0
557,0,3,0,1,4
558,2,1,1,1,4
559,1,4,1,0,1
560,2,1,1,1,2
561,0,0,1,2,0
562,4,2,3,4,4
563,3,3,1,2,0
564,3,0,2,0,2
565,0,0,0,4,1
566,3,4,0,1,4
567,4,4,4,0,4
568,0,2,0,4,2
569,2,0,0,1,4
570,0,4,2,3,2
571,0,1,4,4,1
572,4,3,0,2,3
573,2,1,4,2,0
574,0,4,4,2,3
575,3,4,2,2,3
576,0,4,2,2,0
577,1,1,1,2,1
578,0,1,3,4,2
579,4,0,4,4,3
580,3,1,1,2,3
581,1,3,3,2,2
582,4,4,0,0,4
583,3,3,2,3,0
584,1,2,3,2,1
585,3,4,1,0,3
586,0,4,3,1,4
587,4,0,0,2,1
588,3,3,2,4,4
589,4,4,3,2,1
590,1,4,0,2,3
591,3,2,0,4,0
592,2,3,2,3,3
593,2,1,0,0,3
594,4,1,4,0,1
595,4,4,4,4,1
596,3,2,1,0,2
597,2,4,3,0,2
598,1,2,4,2,2
599,1,3,3,4,3
600,0,3,1,2,1
601,2,0,2,0,1
602,4,3,2,4,1
603,4,2,4,1,3
604,1,4,1,0,4
605,2,2,0,1,0
606,3,4,2,4,4
607,1,2,1,1,0
608,4,0,3,4,3
609,4,3,0,2,4
610,2,0,3,3,2
611,3,4,4,3,0
612,0,3,3,0,2
613,1,3,0,4,0
614,1,4,0,3,3
615,4,0,1,0,4
616,1,3,3,0,3
617,2,0,3,4,1
618,2,1,1,4,3
619,4,4,3,1,3
620,1,1,3,2,3
621,0,4,3,0,0
622,2,0,2,1,0
623,2,3,0,0,0
624,2,3,1,4,4
625,0,0,3,1,1
626,4,1,0,3,1
627,3,3,3,0,1
628,0,3,4,3,3
629,1,2,3,2,3
630,4,0,3,2,1
631,3,1,4,2,2
632,2,1,4,0,4
633,2,0,1,0,4
634,0,3,0,1,2
635,3,0,0,0,4
636,4,2,3,3,1
637,0,3,0,2,2
638,4,4,3,2,3
639,3,0,4,1,0
640,2,1,4,1,3
641,0,4,2,4,1
642,1,0,4,3,1
643,1,2,3,1,2
644,4,2,2,0,4
645,3,2,4,0,0
646,4,0,0,4,3
647,4,0,4,2,4
648,2,2,0,4,4
649,1,4,3,2,0
650,2,1,0,2,4
651,3,0,4,0,2
652,4,1,3,1,4
653,0,3,0,2,4
654,4,4,2,2,4
655,4,0,2,1,0
656,1,1,1,4,1
657,0,2,2,4,2
658,0,1,1,4,4
659,3,4,0,4,4
660,4,3,2,1,2
661,2,1,3,1,0
662,3,1,3,2,4
663,3,3,3,2,3
664,1,1,4,1,0
665,0,0,0,3,2
666,4,0,1,0,3
667,0,0,4,1,0
668,0,2,4,3,3
669,3,1,4,2,0
670,0,3,1,4,3
671,4,0,1,2,4
672,0,4,1,4,2
673,4,0,4,0,1
674,2,3,3,0,3
675,3,2,0,1,3
676,0,2,3,4,2
677,4,3,3,1,4
678,4,3,3,0,4
679,4,3,3,0,3
680,4,3,3,3,4
681,3,0,0,4,4
682,0,1,4,2,0
683,1,2,3,0,0
684,0,0,1,0,2
685,3,4,1,2,0
686,2,1,0,4,3
687,4,4,4,0,1
688,3,4,3,1,1
689,3,0,1,1,3
690,2,4,1,4,0
691,2,2,3,2,3
692,4,2,2,2,1
693,0,1,3,4,4
694,4,3,4,0,4
695,1,4,4,1,4
696,1,0,2,3,1
697,2,2,4,2,0
698,0,2,2,4,2
699,3,1,2,1,2
700,0,1,0,4,4
701,1,0,1,4,1
702,3,3,3,4,0
703,0,2,2,0,2
704,0,4,3,1,4
705,3,0,4,2,3
706,3,1,2,4,0
707,4,3,2,2,0
708,0,0,3,4,1
709,1,2,0,0,1
710,1,2,2,3,2
711,2,2,1,1,0
712,4,0,0,3,1
713,1,3,1,0,3
714,1,0,1,3,1
715,3,3,1,2,0
716,3,3,3,0,4
717,1,0,3,4,4
718,1,3,0,1,2
719,1,0,3,1,1
720,3,1,1,4,3
721,3,3,2,4,2
722,2,3,2,4,4
723,2,1,0,4,2
724,0,0,1,2,2
725,3,4,3,1,4
726,4,3,4,3,3
727,2,2,1,1,4
728,1,1,3,1,4
729,0,4,4,0,0
730,2,4,2,3,1
731,0,1,1,3,1
732,0,4,4,0,3
733,3,0,1,1,4
734,0,3,4,0,4
735,0,2,3,4,2
736,3,0,4,3,1
737,3,0,3,4,4
738,2,0,4,0,4
739,4,2,1,1,0
740,0,0,2,4,0
741,0,1,1,0,2
742,2,4,2,0,4
743,2,4,0,3,4
744,3,2,3,4,2
745,4,1,2,1,3
746,4,0,0,4,2
747,2,2,0,1,1
748,2,2,3,4,2
749,4,4,2,0,0
750,1,2,4,4,1
751,2,2,3,4,2
752,2,3,0,2,3
753,0,3,3,3,2
754,3,0,4,0,3
755,4,0,3,0,1
756,3,4,3,3,1
757,3,2,2,4,4
758,0,4,4,3,2
759,1,4,2,1,4
760,2,1,1,0,3
761,2,3,4,0,0
762,0,1,1,4,3
763,1,1,4,4,1
764,2,1,4,3,0
765,0,2,1,1,3
766,2,3,3,4,1
767,2,3,0,1,2
768,1,2,4,0,1
769,2,1,3,1,4
770,0,1,3,0,3
771,3,1,2,3,2
772,4,3,2,0,3
773,0,3,3,1,4
774,1,2,2,0,4
775,0,3,1,3,3
776,0,3,2,0,3
777,1,0,3,2,3
778,3,1,1,3,2
779,4,1,4,1,1
780,0,1,2,2,3
781,1,3,0,2,3
782,0,4,2,3,2
783,3,2,0,3,3
784,3,3,4,3,1
785,4,4,3,2,3
786,0,3,1,2,2
787,2,4,0,0,1
788,1,1,2,0,4
789,1,4,4,4,3
790,3,4,1,4,3
791,3,3,0,1,2
792,4,0,0,1,4
793,0,1,3,2,0
794,1,1,1,2,2
795,1,4,1,3,1
796,0,2,0,4,3
797,0,1,0,2,0
798,1,2,0,1,0
799,0,4,1,4,2
800,1,4,4,0,3
801,2,4,4,2,3
802,2,3,3,1,0
803,1,2,4,0,2
804,2,3,1,4,4
805,1,3,1,4,1
806,3,3,2,3,3
807,1,0,4,1,2
808,0,4,1,4,3
809,3,4,0,2,4
810,0,3,4,2,2
811,2,3,1,3,2
812,2,0,2,0,0
813,1,3,4,0,4
814,2,4,3,0,2
815,0,4,3,1,2
816,4,3,3,4,2
817,0,0,4,3,0
818,2,1,0,1,4
819,0,2,3,3,3
820,2,0,4,0,3
821,3,1,3,0,2
822,2,3,2,1,0
823,4,3,0,4,1
824,0,3,2,0,0
825,1,1,1,2,2
826,0,1,3,3,0
827,3,3,4,2,4
828,1,1,2,3,4
829,2,0,2,0,0
830,4,3,2,3,4
831,2,0,1,2,3
832,1,2,3,1,4
833,1,4,1,4,4
834,2,3,0,3,0
835,1,3,1,3,2
836,4,4,4,4,3
837,3,3,3,3,3
838,4,4,0,4,3
839,2,1,4,1,2
840,1,2,0,2,0
841,1,4,0,3,0
842,3,1,1,2,1
843,4,1,0,3,4
844,2,2,4,2,3
845,1,2,3,2,2
846,1,4,2,3,4
847,0,3,2,3,3
848,0,1,1,2,1
849,2,3,3,2,2
850,4,2,0,3,0
851,3,2,3,3,4
852,4,4,0,4,4
853,1,0,3,0,0
854,3,0,4,0,3
855,4,3,3,1,1
856,1,4,2,4,4
857,3,1,1,2,2
858,3,1,4,4,3
859,3,0,3,1,0
860,2,3,1,3,0
861,2,0,1,1,3
862,1,0,0,1,0
863,4,2,1,3,4
864,3,3,1,1,2
865,1,0,4,1,0
866,0,2,3,1,4
867,1,0,2,0,0
868,0,2,0,2,4
869,2,2,2,4,3
870,0,3,2,2,4
871,4,1,2,4,4
872,0,2,0,0,3
873,1,3,4,2,0
874,3,1,1,1,4
875,0,3,3,1,1
876,4,2,2,1,3
877,1,0,2,0,3
878,1,1,2,2,2
879,4,0,0,4,2
880,0,2,3,4,1
881,1,1,2,1,0
882,4,4,2,4,3
883,4,3,0,3,4
884,3,3,2,3,0
885,3,1,3,4,0
886,1,2,0,0,0
887,3,3,1,1,2
888,3,4,3,0,4
889,4,3,0,3,3
890,0,4,2,3,4
891,2,2,2,4,0
892,1,4,1,2,0
893,1,4,1,0,2
894,4,4,4,0,1
895,0,1,0,1,1
896,0,2,2,2,2
897,2,3,1,1,0
898,4,2,3,3,1
899,4,1,3,3,0
900,0,3,1,3,2
901,1,3,1,4,0
902,2,4,4,1,2
903,3,3,3,4,1
904,1,4,0,0,4
905,0,0,2,3,4
906,0,2,1,1,4
907,0,0,0,1,4
908,0,2,2,4,3
909,2,0,1,3,3
910,3,4,2,1,2
911,0,4,1,2,4
912,3,1,4,2,1
913,3,4,2,0,2
914,1,0,4,4,1
915,1,1,4,2,2
916,4,3,0,2,1
917,3,0,2,0,2
918,3,2,4,3,4
919,3,0,2,0,3
920,0,1,2,3,3
921,3,2,1,4,4
922,4,4,0,0,1
923,4,1,2,2,0
924,2,1,3,1,3
925,0,0,2,4,2
926,3,0,0,4,4
927,3,4,1,0,2
928,4,4,1,2,4
929,4,2,0,3,4
930,4,1,2,0,0
931,2,2,0,2,3
932,4,1,4,1,1
933,4,4,4,0,2
934,1,4,3,4,1
935,0,1,3,2,1
936,0,2,0,4,0
937,4,1,4,2,0
938,4,2,0,2,4
939,1,0,0,3,3
940,2,0,0,0,0
941,1,4,4,3,1
942,0,0,2,2,1
943,1,3,3,4,3
944,4,4,0,0,0
945,3,3,1,1,2
946,0,2,1,3,3
947,1,1,0,2,3
948,2,0,3,4,4
949,4,0,4,4,4
950,0,3,4,2,3
951,4,2,3,1,0
952,4,4,3,3,3
953,1,4,2,1,4
954,2,3,4,4,0
955,2,0,2,3,3
956,1,2,3,2,1
957,1,0,4,3,0
958,3,2,1,3,1
959,4,0,0,0,1
960,1,2,3,2,4
961,2,3,2,1,2
962,0,0,1,1,0
963,3,1,1,0,1
964,0,0,0,3,2
965,4,0,4,0,1
966,2,1,2,4,2
967,1,3,0,2,2
968,2,0,2,1,4
969,2,2,1,0,4
970,4,3,0,0,1
971,4,3,4,1,2
972,4,1,4,0,3
973,2,1,1,3,2
974,1,4,0,3,2
975,2,1,3,3,1
976,3,4,4,2,4
977,4,2,2,0,3
978,3,2,2,1,2
979,0,0,0,4,4
980,1,2,4,4,0
981,3,2,0,3,4
982,2,1,4,0,3
983,4,2,4,3,3
984,4,3,2,1,1
985,1,1,3,0,4
986,2,3,2,3,2
987,2,2,0,4,2
988,1,2,3,2,4
989,4,0,0,1,1
990,2,0,4,3,0
991,3,1,4,0,1
992,2,3,1,2,4
993,3,4,0,3,2
994,0,3,3,3,3
995,2,3,1,1,4
996,0,3,4,4,2
997,0,1,1,2,0
998,3,1,3,0,4
999,0,4,4,0,4
1000,1,3,1,4,4
1001,0,0,4,4,0
1002,0,2,2,4,2
1003,1,3,1,2,4
1004,4,0,1,0,1
1005,2,0,2,3,4
1006,1,1,1,3,3
1007,0,4,4,0,3
1008,0,4,1,3,1
1009,1,1,1,0,4
1010,0,2,1,2,2
1011,4,2,3,0,4
1012,0,2,0,1,0
1013,1,3,0,3,0
1014,1,0,3,3,3
1015,1,4,0,0,1
1016,1,0,3,1,0
1017,2,2,4,2,1
1018,3,1,0,4,3
1019,3,3,3,0,4
1020,4,0,4,3,3
1021,2,2,3,0,4
1022,2,1,4,3,3
1023,3,3,1,1,1
1024,4,1,4,2,1
1025,0,2,0,1,2
1026,4,2,1,2,2
1027,4,0,3,3,3
1028,3,3,3,4,3
1029,3,0,4,4,0
1030,0,3,3,3,4
1031,0,4,3,1,0
1032,4,4,2,3,1
1033,2,4,0,2,0
1034,4,1,4,1,3
1035,3,0,0,1,3
1036,2,0,4,3,2
1037,0,0,4,3,4
1038,4,2,1,4,4
1039,2,2,0,2,3
1040,4,0,2,1,1
1041,2,3,1,4,0
1042,0,3,0,4,1
1043,4,2,0,4,4
1044,1,0,2,1,1
1045,4,0,0,2,4
1046,3,0,2,3,3
1047,3,1,2,1,1
1048,4,2,1,1,2
1049,3,1,1,2,3
1050,0,1,2,1,2
1051,4,1,0,4,3
1052,4,4,4,1,3
1053,4,1,4,3,4
1054,0,3,0,1,1
1055,4,0,3,1,1
1056,0,3,1,1,0
1057,2,0,2,1,2
1058,0,4,3,4,0
1059,3,1,2,0,2
1060,1,1,4,2,3
1061,1,2,3,0,3
1062,2,0,4,4,4
1063,3,1,1,0,1
1064,2,4,1,2,0
1065,1,1,2,3,4
1066,0,2,1,2,2
1067,1,3,1,0,0
1068,4,3,1,3,4
1069,3,0,2,2,4
1070,4,2,3,1,1
1071,3,2,1,1,4
1072,4,1,3,0,3
1073,2,1,3,4,2
1074,3,2,3,4,1
1075,4,0,3,4,0
1076,0,4,1,0,3
1077,0,2,2,2,4
1078,4,2,3,4,3
1079,0,2,0,3,4
1080,1,1,2,1,0
1081,2,4,4,1,3
1082,0,1,4,3,4
1083,3,0,2,4,1
1084,4,1,2,4,3
1085,0,2,4,0,3
1086,4,3,1,0,0
1087,4,1,4,3,3
1088,2,3,0,0,2
1089,1,4,1,2,1
1090,1,0,1,4,4
1091,3,2,0,2,0
1092,2,1,3,4,4
1093,4,3,3,4,4
1094,4,3,1,3,4
1095,0,1,0,1,1
1096,2,2,1,4,3
1097,2,4,2,4,3
1098,0,0,2,4,4
1099,2,0,0,2,2
1100,1,2,1,3,2
1101,3,4,3,4,2
1102,4,0,0,0,1
1103,3,2,1,3,0
1104,0,0,1,0,0
1105,3,1,4,4,1
1106,1,3,2,0,1
1107,0,4,2,4,4
1108,4,0,1,2,4
1109,0,2,4,2,1
1110,2,4,1,4,1
1111,3,4,3,2,3
1112,4,0,0,1,3
1113,2,3,1,3,3
1114,1,2,1,0,2
1115,4,0,1,1,0
1116,4,3,4,2,4
1117,1,1,1,4,4
1118,2,1,0,1,4
1119,3,4,2,4,2
1120,3,0,3,4,4
1121,2,2,3,4,0
1122,1,0,4,3,1
1123,1,0,2,1,2
1124,3,2,0,2,1
1125,3,1,2,0,2
1126,1,0,4,3,0
1127,0,0,2,3,4
1128,3,0,1,0,0
1129,3,2,0,1,1
1130,3,1,2,1,2
1131,3,4,3,3,4
1132,4,1,4,3,0
1133,3,3,3,2,3
1134,3,1,1,1,0
1135,3,4,0,4,1
1136,1,3,1,2,4
1137,2,2,4,0,4
1138,2,1,4,1,3
1139,3,3,3,0,2
1140,2,3,3,3,3
1141,1,1,0,1,4
1142,2,1,2,3,1
